Datetime,Temperature [K],IBIA [mV],IDB [mV],IREF [mV],VTES [mV],ITHR [mV],VCN [mV],VCN2 [mV],VCP [mV],VCLP [mV],VRST [mV],VPL [mV],VPH [mV]
2019-08-29 16:09:03.279278,24.869,1194.97,968.8,1172.09,455.52,991.52,688.88,586.91,900.3,101.41,1854.96,900.3,1033.98
2019-08-29 16:09:06.354407,24.888,1194.97,968.88,1172.09,455.52,991.76,689.11,586.76,900.22,101.49,1854.73,900.14,1034.38
2019-08-29 16:09:09.438565,24.871,1194.74,969.35,1172.09,455.44,991.52,689.11,586.44,900.06,101.49,1854.65,900.06,1034.14
2019-08-29 16:09:12.540430,24.899,1194.5,969.43,1172.09,455.52,991.45,688.56,587.07,900.93,101.57,1854.73,900.06,1034.3
2019-08-29 16:09:15.622212,24.885,1194.34,969.35,1172.01,455.44,991.29,688.72,586.76,900.3,101.49,1854.65,899.98,1034.3
2019-08-29 16:09:18.702547,24.893,1194.9,969.19,1172.09,455.52,991.6,688.8,586.6,899.74,101.49,1854.65,899.27,1034.06
2019-08-29 16:09:21.788568,24.887,1194.66,969.03,1172.09,455.44,991.52,688.88,586.84,900.61,101.49,1854.65,899.43,1034.06
2019-08-29 16:09:24.875871,24.888,1194.82,969.03,1172.09,455.36,991.45,689.19,586.76,900.22,101.41,1854.49,899.51,1033.19
2019-08-29 16:09:27.962274,24.877,1194.66,968.48,1172.17,455.04,991.92,689.27,586.6,899.9,101.41,1854.33,898.64,1032.72
2019-08-29 16:09:31.050956,24.875,1194.66,969.74,1172.25,454.88,992.08,689.27,586.28,900.22,101.41,1854.09,898.17,1031.85
2019-08-29 16:09:34.123077,24.887,1194.26,970.06,1172.4,454.65,992.08,689.27,586.68,899.98,101.33,1853.94,897.45,1030.67
2019-08-29 16:09:37.204803,24.892,1194.26,970.22,1172.48,454.33,992.08,689.74,586.68,900.37,101.25,1853.62,896.82,1031.06
2019-08-29 16:09:40.285569,24.886,1193.79,970.85,1172.64,453.94,992.87,689.43,586.36,899.9,101.18,1853.3,896.03,1030.43
2019-08-29 16:09:43.368327,24.907,1194.34,971.01,1172.88,453.62,992.79,689.82,586.68,900.61,100.94,1852.91,895.32,1028.85
2019-08-29 16:09:46.449278,24.896,1193.95,970.93,1173.04,453.31,992.87,690.06,586.68,901.09,100.94,1852.52,894.3,1027.67
2019-08-29 16:09:49.527463,24.886,1193.55,971.4,1173.11,452.75,993.1,690.53,586.6,900.85,100.78,1852.12,893.35,1026.64
2019-08-29 16:09:52.607520,24.9,1193.79,971.08,1173.35,452.36,993.34,690.61,586.36,900.77,100.7,1851.65,892.4,1025.46
2019-08-29 16:09:55.691769,24.897,1193.4,971.32,1173.51,451.81,993.58,691.09,586.6,900.37,100.54,1851.25,890.9,1024.67
2019-08-29 16:09:58.773079,24.891,1193.24,973.45,1173.67,451.41,993.66,691.4,586.68,901.32,100.39,1850.7,889.8,1022.93
2019-08-29 16:10:01.859916,24.902,1193.0,974.24,1173.98,450.94,993.89,691.72,586.84,900.69,100.23,1850.15,888.38,1021.28
2019-08-29 16:10:04.943394,24.884,1192.69,974.24,1174.06,450.39,994.44,692.03,586.44,900.61,100.15,1849.6,887.59,1019.86
2019-08-29 16:10:08.028074,24.918,1192.92,974.87,1174.3,449.91,994.84,692.35,586.76,901.32,99.99,1848.96,886.49,1018.12
2019-08-29 16:10:11.110519,24.934,1193.16,975.5,1174.46,449.44,994.92,692.51,586.68,900.85,99.91,1848.41,884.75,1017.25
2019-08-29 16:10:14.189698,24.902,1192.61,975.27,1174.61,449.04,995.0,692.58,586.76,900.85,99.91,1847.86,883.88,1016.07
2019-08-29 16:10:17.270933,24.956,1192.69,975.58,1174.69,448.65,995.63,692.82,586.68,901.32,99.68,1847.31,883.01,1015.28
2019-08-29 16:10:20.355406,24.955,1192.53,975.27,1174.93,448.26,995.71,692.9,586.44,902.27,99.6,1846.91,882.14,1013.62
2019-08-29 16:10:23.439049,24.97,1192.29,976.06,1175.01,447.94,995.87,693.37,586.2,900.93,99.6,1846.68,881.28,1012.91
2019-08-29 16:10:26.516468,25.008,1192.13,975.9,1175.17,447.55,995.94,693.29,586.2,902.74,99.52,1845.89,880.57,1011.73
2019-08-29 16:10:29.602364,25.035,1192.45,977.32,1175.24,447.15,996.26,693.53,586.12,901.24,99.2,1845.65,879.38,1010.78
2019-08-29 16:10:32.684944,25.118,1192.29,976.69,1175.32,446.99,996.18,693.69,586.2,901.32,99.2,1845.26,878.83,1010.23
2019-08-29 16:10:35.771366,25.165,1192.21,976.37,1175.4,446.68,996.5,693.69,585.89,901.4,99.12,1844.86,878.28,1009.2
2019-08-29 16:10:38.850459,25.195,1192.21,976.77,1175.56,446.44,996.58,694.01,586.2,900.93,99.05,1844.55,877.41,1007.86
2019-08-29 16:10:41.937902,25.255,1191.5,977.08,1175.64,446.2,996.73,694.01,585.73,901.32,99.05,1844.15,876.86,1007.47
2019-08-29 16:10:45.021726,25.331,1191.98,977.32,1175.72,445.97,997.13,694.32,585.97,901.16,98.97,1843.91,876.38,1006.83
2019-08-29 16:10:48.108257,25.417,1191.42,977.56,1175.8,445.73,996.97,694.4,586.05,901.32,98.81,1843.52,876.07,1005.81
2019-08-29 16:10:51.195781,25.511,1191.74,977.24,1175.88,445.49,997.29,694.32,586.12,901.16,98.81,1843.2,875.28,1005.49
2019-08-29 16:10:54.277180,25.596,1191.58,977.32,1175.96,445.26,997.36,694.79,586.2,901.24,98.81,1843.05,874.73,1004.78
2019-08-29 16:10:57.358782,25.666,1191.66,978.11,1176.03,445.1,997.21,694.56,585.97,902.74,98.65,1842.65,874.17,1003.52
2019-08-29 16:11:00.434952,25.798,1191.34,977.79,1176.11,444.86,997.6,694.64,585.97,901.09,98.57,1842.41,873.62,1002.97
2019-08-29 16:11:03.519428,25.887,1191.58,977.87,1176.19,444.7,997.21,694.32,585.97,900.93,98.49,1842.41,873.46,1003.6
2019-08-29 16:11:06.604155,25.978,1191.58,978.19,1176.11,444.55,997.52,694.72,586.05,901.09,98.49,1842.02,873.23,1003.28
2019-08-29 16:11:09.696916,26.124,1191.34,978.35,1176.27,444.39,997.92,694.79,585.89,901.09,98.41,1841.7,872.75,1002.49
2019-08-29 16:11:12.785397,26.216,1191.5,978.42,1176.35,444.31,997.84,695.11,586.05,901.72,98.49,1841.63,873.07,1002.1
2019-08-29 16:11:15.870250,26.336,1191.42,978.03,1176.35,444.15,997.6,695.03,585.81,901.64,98.41,1841.31,872.44,1000.99
2019-08-29 16:11:18.955630,26.471,1191.03,978.35,1176.51,444.07,998.0,694.64,585.89,901.72,98.41,1841.15,871.81,1000.68
2019-08-29 16:11:22.037255,26.596,1191.19,978.42,1176.51,443.84,997.6,695.35,585.81,901.4,98.41,1840.99,871.73,1000.92
